1,1,trapdoor,null
2,1,white,trap
3,1,black,null
4,1,white,null
5,1,black,null
6,1,white,null
7,1,black,trap
8,1,trapdoor,null
1,2,white,null
2,2,black,enemy_pawn
3,2,white,null
4,2,black,null
5,2,white,null
6,2,black,null
7,2,white,enemy_pawn
8,2,black,null
1,3,black,null
2,3,white,null
3,3,black,null
4,3,white,null
5,3,black,null
6,3,white,null
7,3,black,null
8,3,white,null
1,4,white,null
2,4,black,null
3,4,white,null
4,4,black,null
5,4,white,null
6,4,black,null
7,4,white,null
8,4,black,null
1,5,black,coin
2,5,white,coin
3,5,mystery,null
4,5,white,shop
5,5,black,trap
6,5,mystery,null
7,5,black,coin
8,5,white,coin
1,6,white,null
2,6,black,null
3,6,white,null
4,6,black,null
5,6,white,null
6,6,black,null
7,6,white,null
8,6,black,null
1,7,black,null
2,7,white,null
3,7,black,null
4,7,white,null
5,7,black,null
6,7,white,null
7,7,black,null
8,7,white,null
1,8,white,enemy_rook
2,8,black,null
3,8,white,null
4,8,black,null
5,8,white,null
6,8,black,null
7,8,white,null
8,8,black,enemy_rook
